date,open,close,high,low,volume,ma5,ma20,macd,macdsignal,macdhist
2021-02-25,3595.54,3585.05,3608.56,3568.47,36623,3624.82,3575.35,12.05,6.73,5.32
2021-02-26,3514.56,3509.08,3550.41,3500.7,33328,3587.4,3570.46,3.87,6.16,-2.29
2021-03-01,3531.48,3551.4,3552.57,3511.99,31548,3569.19,3566.82,0.79,5.09,-4.29
2021-03-02,3566.85,3508.59,3566.85,3485.36,33983,3543.64,3563.78,-5.04,3.06,-8.1
2021-03-03,3500.16,3576.9,3577.62,3498.72,34765,3546.2,3563.96,-4.1,1.63,-5.73
2021-03-04,3546.64,3503.49,3552.2,3487.38,39361,3529.89,3563.87,-9.18,-0.53,-8.65
2021-03-05,3463.31,3501.99,3523.57,3456.67,35640,3528.47,3564.82,-13.17,-3.06,-10.11
2021-03-08,3524.98,3421.41,3542.3,3421.22,38704,3502.48,3560.63,-22.58,-6.97,-15.61
2021-03-09,3415.34,3359.29,3429.15,3328.31,40765,3472.62,3551.91,-34.65,-12.5,-22.14
2021-03-10,3389.84,3357.74,3397.03,3354.82,29974,3428.78,3543.93,-43.83,-18.77,-25.06
2021-03-11,3369.9,3436.83,3436.83,3369.9,32211,3415.45,3540.68,-44.22,-23.86,-20.36
2021-03-12,3447.2,3453.08,3454.51,3417.24,35802,3405.67,3538.51,-42.72,-27.63,-15.09
2021-03-15,3441.88,3419.95,3457.49,3392.51,36781,3405.38,3532.89,-43.7,-30.84,-12.86
2021-03-16,3424.65,3446.73,3448.88,3406.17,31666,3422.87,3525.05,-41.84,-33.04,-8.79
2021-03-17,3435.73,3445.55,3454.06,3410.28,28005,3440.43,3514.57,-39.99,-34.43,-5.56
2021-03-18,3449.64,3463.07,3478.14,3449.38,28440,3445.68,3503.96,-36.7,-34.89,-1.81
2021-03-19,3423.87,3404.66,3439.52,3389.29,30916,3435.99,3489.38,-38.35,-35.58,-2.77
2021-03-22,3406.12,3443.44,3443.66,3404.23,31255,3440.69,3479.43,-36.12,-35.69,-0.43
2021-03-23,3445.34,3411.51,3445.42,3390.05,32638,3433.65,3468.19,-36.51,-35.85,-0.66
2021-03-24,3394.13,3367.06,3415.29,3362.18,31739,3417.95,3458.34,-39.94,-36.67,-3.27
2021-03-25,3355.07,3363.59,3382.23,3344.97,27067,3398.05,3447.27,-42.45,-37.83,-4.63
2021-03-26,3373.32,3418.33,3423.22,3373.32,27461,3400.79,3442.73,-39.57,-38.18,-1.39
2021-03-29,3429.63,3435.3,3449.83,3409.89,28482,3399.16,3436.93,-35.51,-37.64,2.13
2021-03-30,3432.53,3456.68,3457.63,3423.32,28542,3408.19,3434.33,-30.21,-36.16,5.94
2021-03-31,3452.21,3441.91,3452.21,3420.83,28304,3423.16,3427.58,-26.9,-34.3,7.41
2021-04-01,3444.81,3466.33,3470.03,3438.83,27524,3443.71,3425.72,-22.05,-31.85,9.8
2021-04-02,3472.63,3484.39,3487.59,3462.83,26265,3456.92,3424.84,-16.56,-28.79,12.24
2021-04-06,3491.63,3482.97,3493.28,3471.76,23474,3466.46,3427.92,-12.18,-25.47,13.29
2021-04-07,3483.42,3479.63,3483.42,3453.19,29578,3471.05,3433.94,-8.87,-22.15,13.28
2021-04-08,3467.49,3482.55,3495.91,3459.32,33175,3479.17,3440.18,-5.95,-18.91,12.96
2021-04-09,3475.44,3450.68,3475.45,3442.14,28008,3476.04,3440.87,-6.14,-16.36,10.22
2021-04-12,3445.97,3412.95,3456.16,3403.9,30957,3461.76,3438.86,-9.22,-14.93,5.71
2021-04-13,3411.29,3396.47,3425.39,3387.9,27062,3444.46,3437.69,-12.85,-14.51,1.66
2021-04-14,3397.02,3416.72,3420.03,3392.98,23324,3431.87,3436.19,-13.93,-14.4,0.47
2021-04-15,3409.61,3398.99,3409.61,3373.09,23400,3415.16,3433.86,-16.03,-14.72,-1.31
2021-04-16,3407.19,3426.62,3432.63,3394.13,25857,3410.35,3432.04,-15.29,-14.84,-0.45
2021-04-19,3427.55,3477.55,3479.01,3414.36,30273,3423.27,3435.68,-10.47,-13.96,3.49
2021-04-20,3467.15,3472.94,3494.3,3463.46,28530,3438.56,3437.16,-6.95,-12.56,5.61
2021-04-21,3456.3,3472.93,3481.25,3450.11,25377,3449.81,3440.23,-4.11,-10.87,6.76
2021-04-22,3482.83,3465.11,3485.36,3456.32,25111,3463.03,3445.13,-2.46,-9.19,6.73
2021-04-23,3462.09,3474.17,3482.36,3456.33,24936,3472.54,3450.66,-0.42,-7.43,7.02
2021-04-26,3484.11,3441.17,3497.12,3438.57,27697,3465.26,3451.8,-1.44,-6.24,4.79
2021-04-27,3440.09,3442.61,3443.85,3417.26,25303,3459.2,3452.17,-2.12,-5.41,3.29
2021-04-28,3432.16,3457.07,3457.07,3423.33,24738,3456.03,3452.19,-1.47,-4.62,3.16
2021-04-29,3458.08,3474.9,3478.23,3447.59,27663,3457.98,3453.84,0.48,-3.6,4.08
2021-04-30,3468.3,3446.86,3469.09,3426.9,31266,3452.52,3452.86,-0.24,-2.93,2.69
2021-05-06,3446.07,3441.28,3471.24,3426.85,31042,3452.54,3450.71,-1.24,-2.59,1.35
2021-05-07,3446.41,3418.87,3457.89,3416.78,35378,3447.8,3447.5,-3.8,-2.83,-0.97
2021-05-10,3423.59,3427.99,3429.74,3401.93,37417,3441.98,3444.92,-5.03,-3.27,-1.76
2021-05-11,3406.6,3441.85,3448.1,3384.7,35093,3435.37,3442.89,-4.84,-3.59,-1.25
2021-05-12,3429.75,3462.75,3466.37,3428.39,31144,3438.55,3443.49,-2.96,-3.46,0.5
2021-05-13,3432.14,3429.54,3448.02,3418.38,31932,3436.2,3444.32,-4.11,-3.59,-0.52
2021-05-14,3436.09,3490.38,3490.64,3422.56,33698,3450.5,3449.02,-0.11,-2.89,2.79
2021-05-17,3490.41,3517.62,3530.51,3490.14,32213,3468.43,3454.06,5.2,-1.27,6.48
2021-05-18,3520.65,3529.01,3529.01,3510.86,27130,3485.86,3460.56,10.21,1.02,9.19
2021-05-19,3521.11,3510.96,3521.11,3503.82,27832,3495.5,3464.78,12.58,3.34,9.25
2021-05-20,3500.88,3506.94,3517.74,3486.07,32600,3510.98,3466.25,13.97,5.46,8.51
2021-05-21,3510.84,3486.56,3518.38,3479.67,28382,3510.22,3466.93,13.28,7.03,6.25
2021-05-24,3486.27,3497.28,3498.3,3469.87,28950,3506.15,3468.15,13.44,8.31,5.13
2021-05-25,3502.54,3581.34,3584.58,3502.44,34124,3516.62,3473.96,20.12,10.67,9.45
2021-05-26,3586.84,3593.36,3603.49,3585.37,34198,3533.1,3479.92,26.08,13.75,12.33
2021-05-27,3585.73,3608.85,3626.36,3579.26,30955,3553.48,3488.3,31.69,17.34,14.35
2021-05-28,3610.77,3600.78,3622.18,3582.36,34920,3576.32,3496.21,35.08,20.89,14.19
