date,上证综指,创业板
2010-06-02,2571.423,997.119
2010-06-03,2552.656,998.394
2010-06-04,2553.593,1027.681
2010-06-07,2511.729,1069.468
2010-06-08,2513.947,1067.154
2010-06-09,2583.87,1077.823
2010-06-10,2562.58,1117.478
2010-06-11,2569.942,1122.199
2010-06-17,2560.245,1064.839
2010-06-18,2513.222,1000.277
2010-06-21,2586.21,1040.802
2010-06-22,2588.698,1034.995
2010-06-23,2569.872,1047.337
2010-06-24,2566.745,1050.601
2010-06-25,2552.817,1016.283
2010-06-28,2535.278,987.827
2010-06-29,2427.053,913.309
2010-06-30,2398.37,919.314
2010-07-01,2373.792,882.19
2010-07-02,2382.901,873.12
2010-07-05,2363.947,862.268
2010-07-06,2409.424,893.718
2010-07-07,2421.117,908.549
2010-07-08,2415.15,905.509
2010-07-09,2470.923,932.147
2010-07-12,2490.72,930.17
2010-07-13,2450.286,931.08
2010-07-14,2470.44,922.362
2010-07-15,2424.304,892.557
2010-07-16,2424.271,892.298
2010-07-19,2475.421,908.049
2010-07-20,2528.73,937.017
2010-07-21,2535.394,941.25
2010-07-22,2562.406,950.209
2010-07-23,2572.028,960.588
2010-07-26,2588.683,966.154
2010-07-27,2575.368,957.967
2010-07-28,2633.663,972.534
2010-07-29,2648.116,975.362
2010-07-30,2637.503,968.431
2010-08-02,2672.516,994.228
2010-08-03,2627.002,975.645
2010-08-04,2638.522,978.014
2010-08-05,2620.757,987.351
2010-08-06,2658.392,1011.39
2010-08-09,2672.53,1032.34
2010-08-10,2595.274,993.992
2010-08-11,2607.497,1004.637
2010-08-12,2575.475,991.777
2010-08-13,2606.7,1007.206
2010-08-16,2661.708,1030.217
2010-08-17,2671.893,1033.581
2010-08-18,2666.301,1026.722
2010-08-19,2687.979,1025.526
2010-08-20,2642.307,995.944
2010-08-23,2639.366,995.613
2010-08-24,2650.307,1004.985
2010-08-25,2596.58,976.878
2010-08-26,2603.48,980.63
2010-08-27,2610.74,999.46
2010-08-30,2652.66,1024.93
2010-08-31,2638.8,1025.57
2010-09-01,2622.88,995.59
2010-09-02,2655.78,1014.92
2010-09-03,2655.39,1036.7
2010-09-06,2696.25,1010.76
2010-09-07,2698.36,1022.62
2010-09-08,2695.29,1026.33
2010-09-09,2656.35,1021.83
2010-09-10,2663.21,1034.94
2010-09-13,2688.32,1042.48
2010-09-14,2688.52,1031.22
2010-09-15,2652.5,990.1
2010-09-16,2602.47,972.6
2010-09-17,2598.69,972.23
2010-09-20,2588.71,949.2
2010-09-21,2591.55,934.46
2010-09-27,2627.97,950.67
2010-09-28,2611.35,942.05
2010-09-29,2610.68,926.76
2010-09-30,2655.66,942.54
2010-10-08,2738.74,959.86
2010-10-11,2806.94,947.11
2010-10-12,2841.41,951.79
2010-10-13,2861.36,962.74
2010-10-14,2879.64,958.49
2010-10-15,2971.16,944.25
2010-10-18,2955.23,932.36
2010-10-19,3001.85,995.92
2010-10-20,3003.95,1004.54
2010-10-21,2983.53,991.84
2010-10-22,2975.04,1013.45
2010-10-25,3051.42,1039.05
2010-10-26,3041.54,1036.01
2010-10-27,2997.05,1030.59
2010-10-28,2992.58,1038.62
2010-10-29,2978.83,1064.52
2010-11-01,3054.02,1107.52
2010-11-02,3045.43,1075.15
2010-11-03,3030.99,1040.62
2010-11-04,3086.94,1057.71
2010-11-05,3129.5,1072.22
2010-11-08,3159.51,1107.06
2010-11-09,3135.0,1115.65
2010-11-10,3115.36,1141.58
2010-11-11,3147.74,1132.72
2010-11-12,2985.44,1082.24
2010-11-15,3014.41,1148.54
2010-11-16,2894.54,1126.18
2010-11-17,2838.86,1085.35
2010-11-18,2865.45,1102.84
2010-11-19,2888.57,1153.17
2010-11-22,2884.37,1174.94
2010-11-23,2828.28,1183.5
2010-11-24,2859.94,1208.45
2010-11-25,2898.26,1186.36
2010-11-26,2871.7,1196.02
2010-11-29,2866.36,1220.11
2010-11-30,2820.18,1181.5
2010-12-01,2823.45,1177.18
2010-12-02,2843.61,1177.84
2010-12-03,2842.43,1157.94
2010-12-06,2857.18,1134.38
2010-12-07,2875.86,1161.69
2010-12-08,2848.55,1160.24
2010-12-09,2810.95,1144.53
2010-12-10,2841.04,1166.8
2010-12-13,2922.95,1209.27
2010-12-14,2927.08,1218.52
2010-12-15,2911.41,1211.8
2010-12-16,2898.14,1225.03
2010-12-17,2893.74,1232.98
2010-12-20,2852.92,1212.34
2010-12-21,2904.11,1215.02
2010-12-22,2877.9,1201.65
2010-12-23,2855.22,1176.36
2010-12-24,2835.16,1144.5
2010-12-27,2781.4,1105.3
2010-12-28,2732.99,1091.48
2010-12-29,2751.53,1113.31
2010-12-30,2759.57,1117.21
2010-12-31,2808.08,1137.66
2011-01-04,2852.65,1155.11
2011-01-05,2838.59,1155.35
2011-01-06,2824.2,1134.79
2011-01-07,2838.8,1126.52
2011-01-10,2791.81,1093.77
