date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2022-11-18,3116.73,3126.71,3097.24,3096.89,2999542.75,-18.19,-0.58,3110.026,3086.403,3032.543,3167342.65,3076374.08,2996439.99
2022-11-17,3110.96,3115.44,3115.43,3087.17,2870284.0,-4.55,-0.15,3108.036,3083.759,3029.628,3386643.15,3106226.55,2969089.91
2022-11-16,3133.65,3145.75,3119.98,3115.35,3034298.5,-14.1,-0.45,3092.176,3071.997,3025.609,3353329.95,3078546.73,2947943.79
2022-11-15,3081.13,3135.59,3134.08,3074.5,3314705.75,50.68,1.64,3077.814,3060.336,3021.829,3217744.9,3100195.13,2911676.51
2022-11-14,3100.87,3121.41,3083.4,3075.22,3617882.25,-3.89,-0.13,3063.896,3043.848,3019.173,3067847.75,3088534.13,2868758.6
2022-11-11,3099.65,3117.74,3087.29,3070.3,4096045.25,51.16,1.69,3062.78,3024.856,3019.25,2985405.5,3028740.1,2819168.8
2022-11-10,3031.69,3047.98,3036.13,3022.85,2703718.0,-12.04,-0.4,3059.482,3007.72,3018.485,2825809.95,2911666.88,2753018.56
2022-11-09,3064.46,3073.92,3048.17,3046.19,2356373.25,-16.32,-0.53,3051.818,3002.397,3017.496,2803763.5,2906903.33,2742674.3
2022-11-08,3077.31,3078.28,3064.49,3047.46,2565220.0,-13.33,-0.43,3042.858,2997.53,3016.363,2982645.35,2939955.5,2748862.41
2022-11-07,3062.86,3088.19,3077.82,3054.46,3205671.0,7.02,0.23,3023.8,2988.709,3012.128,3109220.5,2938987.65,2724919.39
2022-11-04,2997.0,3081.59,3070.8,2997.0,3298067.5,72.99,2.44,2986.932,2978.683,3006.945,3072074.7,2916505.9,2686338.25
2022-11-03,2981.2,3003.72,2997.81,2977.72,2593485.75,-5.56,-0.18,2955.958,2975.496,3004.624,2997523.8,2831953.28,2623492.54
2022-11-02,2960.65,3019.05,3003.37,2954.95,3250782.5,34.17,1.15,2952.976,2979.22,3006.794,3010043.15,2817340.85,2608833.47
2022-11-01,2899.5,2969.2,2969.2,2896.76,3198095.75,75.72,2.62,2952.202,2983.321,3008.879,2897265.65,2723157.9,2561343.67
2022-10-31,2893.2,2926.02,2893.48,2885.09,3019942.0,-22.45,-0.77,2953.618,2994.497,3015.112,2768754.8,2648983.08,2517806.53
2022-10-28,2967.02,2974.24,2915.93,2908.98,2925313.0,-66.97,-2.25,2970.434,3013.643,3022.999,2760937.1,2609597.5,2498158.74
2022-10-27,3005.04,3017.26,2982.9,2981.69,2656082.5,-16.6,-0.55,2995.034,3029.249,3031.621,2666382.75,2594370.25,2473421.96
2022-10-26,2977.56,3028.35,2999.5,2977.56,2686895.0,23.22,0.78,3005.464,3032.595,3037.922,2624638.55,2578445.28,2451188.18
2022-10-25,2969.16,3001.72,2976.28,2944.26,2555541.5,-1.28,-0.04,3014.44,3035.196,3043.806,2549050.15,2557769.33,2433329.68
2022-10-24,3034.75,3064.42,2977.56,2965.17,2980853.5,-61.37,-2.02,3035.376,3035.547,3051.112,2529211.35,2510851.13,2415523.87
2022-10-21,3038.04,3055.42,3038.93,3026.96,2452541.25,3.88,0.13,3056.852,3035.206,3058.014,2458257.9,2456170.6,2391038.02
2022-10-20,3029.3,3070.26,3035.05,3013.69,2447361.5,-9.33,-0.31,3063.464,3033.752,3062.388,2522357.75,2415031.81,2426648.91
2022-10-19,3073.26,3081.39,3044.38,3044.38,2308953.0,-36.58,-1.19,3059.726,3034.367,3070.631,2532252.0,2400326.09,2466883.89
2022-10-18,3094.93,3099.92,3080.96,3074.22,2456347.5,-3.98,-0.13,3055.952,3034.436,3080.289,2566488.5,2399529.44,2479032.93
2022-10-17,3060.52,3087.19,3084.94,3052.71,2626086.25,12.95,0.42,3035.718,3035.726,3089.431,2492490.9,2386629.99,2494310.47
2022-10-14,3035.03,3084.27,3071.99,3035.03,2773040.5,55.63,1.84,3013.56,3032.355,3098.287,2454083.3,2386719.99,2504919.99
2022-10-13,3008.3,3036.25,3016.36,3004.5,2496832.75,-9.15,-0.3,3004.04,3033.993,3106.467,2307705.88,2352473.66,2507108.14
2022-10-12,2976.72,3025.51,3025.51,2934.09,2480135.5,45.72,1.53,3009.008,3043.248,3117.963,2268400.18,2323931.09,2532773.74
2022-10-11,2978.06,2986.91,2979.79,2953.5,2086359.5,5.64,0.19,3012.92,3052.415,3128.86,2232570.38,2308890.04,2568201.82
2022-10-10,3026.94,3029.45,2974.15,2968.28,2434048.25,-50.24,-1.66,3035.734,3066.677,3139.866,2280769.08,2320196.61,2604221.66
2022-09-30,3042.17,3054.61,3024.39,3021.93,2041153.38,-16.81,-0.55,3051.15,3080.822,3150.483,2319356.68,2325905.44,2607747.69
2022-09-29,3067.47,3076.76,3041.2,3026.08,2300304.25,-3.87,-0.13,3063.946,3091.023,3158.512,2397241.45,2438266.0,2643020.3
2022-09-28,3089.1,3089.1,3045.07,3044.86,2300986.5,-48.79,-1.58,3077.488,3106.895,3166.559,2379462.0,2533441.7,2700209.5
2022-09-27,3056.39,3094.04,3093.86,3048.37,2327353.0,42.63,1.4,3091.91,3126.142,3175.667,2385209.7,2558536.43,2732319.64
2022-09-26,3067.57,3102.65,3051.23,3048.51,2626986.25,-37.14,-1.2,3097.62,3143.136,3183.01,2359624.15,2601990.95,2764459.54
2022-09-23,3106.81,3124.66,3088.37,3072.24,2430577.25,-20.54,-0.66,3110.494,3164.218,3192.26,2332454.2,2623120.0,2788074.0
2022-09-22,3098.77,3125.68,3108.91,3092.82,2211407.0,-8.27,-0.27,3118.1,3178.94,3200.154,2479290.55,2661742.63,2834643.23
2022-09-21,3116.01,3129.82,3117.18,3091.3,2329725.0,-5.23,-0.17,3136.302,3192.678,3205.468,2687421.4,2741616.4,2907143.16
2022-09-20,3127.84,3140.03,3122.41,3114.04,2199425.25,6.81,0.22,3160.374,3205.305,3213.42,2731863.15,2827513.6,2948940.09
2022-09-19,3122.75,3135.56,3115.6,3101.22,2491136.5,-10.8,-0.34,3188.652,3213.055,3221.189,2844357.75,2888246.7,2996237.76
2022-09-16,3189.83,3191.83,3126.4,3126.4,3164759.0,-73.52,-2.3,3217.942,3220.143,3228.313,2913785.8,2889589.95,3038448.68
2022-09-15,3248.97,3254.18,3199.92,3174.39,3252061.25,-37.62,-1.16,3239.78,3226.001,3235.87,2844194.7,2847774.6,3031058.11
2022-09-14,3224.68,3250.8,3237.54,3221.96,2551933.75,-26.26,-0.81,3249.054,3226.223,3240.501,2795811.4,2866977.3,3031517.43
2022-09-13,3272.05,3278.17,3263.8,3259.66,2761898.25,1.75,0.05,3250.236,3225.191,3242.518,2923164.05,2906102.85,3055716.88
2022-09-09,3241.18,3266.2,3262.05,3236.51,2838276.75,26.46,0.82,3237.458,3222.884,3243.132,2932135.65,2926928.13,3061175.35
2022-09-08,3245.56,3253.7,3235.59,3233.8,2816803.5,-10.7,-0.33,3222.344,3220.301,3243.874,2865394.1,2953028.0,3069227.98
2022-09-07,3232.14,3253.77,3246.29,3227.82,3010144.75,2.84,0.09,3212.222,3221.367,3246.178,2851354.5,3007543.83,3078690.49
2022-09-06,3207.93,3244.64,3243.45,3203.82,3188697.0,43.54,1.36,3203.392,3218.258,3245.365,2938143.2,3072669.93,3056975.05
2022-09-05,3183.95,3199.91,3199.91,3172.04,2806756.25,13.43,0.42,3200.146,3221.535,3245.564,2889041.65,3070366.58,3027342.94
2022-09-02,3189.64,3198.28,3186.48,3173.79,2504569.0,1.5,0.05,3208.31,3229.323,3247.415,2921720.6,3104228.83,3014139.15
2022-09-01,3196.54,3214.56,3184.98,3181.63,2746605.5,-17.16,-0.54,3218.258,3236.483,3249.442,3040661.9,3187307.4,3026252.56
2022-08-31,3216.53,3232.02,3202.14,3184.39,3444088.25,-25.08,-0.78,3230.512,3245.739,3249.645,3163733.15,3214341.63,3019371.76
2022-08-30,3240.18,3243.75,3227.22,3212.63,2943189.25,-13.51,-0.42,3233.124,3254.778,3247.722,3207196.65,3196057.55,3009610.19
2022-08-29,3203.1,3240.73,3240.73,3199.0,2970151.0,4.51,0.14,3242.924,3259.844,3245.674,3251691.5,3205330.9,3059538.81
