date,open,close,high,low,volume
2000-01-04,1368.69,1406.37,1407.52,1361.21,903
2000-01-05,1407.83,1409.68,1433.78,1398.32,1058
2000-01-06,1406.04,1463.94,1463.95,1400.25,1348
2000-01-07,1477.15,1516.6,1522.82,1477.15,3451
2000-01-10,1531.71,1545.11,1546.72,1506.4,3125
2000-01-11,1547.68,1479.78,1547.71,1468.76,2192
2000-01-12,1473.76,1438.02,1489.28,1435.0,1522
2000-01-13,1437.45,1424.44,1444.07,1418.81,861
2000-01-14,1426.22,1408.85,1433.47,1401.71,744
2000-01-17,1408.99,1433.33,1433.38,1402.66,764
2000-01-18,1436.89,1426.62,1443.59,1421.64,776
2000-01-19,1425.87,1440.72,1443.67,1425.14,800
2000-01-20,1443.09,1466.86,1466.9,1443.09,1007
2000-01-21,1471.91,1465.08,1476.46,1458.93,1505
2000-01-24,1465.86,1477.34,1477.41,1449.47,1624
2000-01-25,1483.03,1476.51,1490.46,1467.44,1363
2000-01-26,1477.3,1481.12,1482.46,1469.98,1038
2000-01-27,1490.45,1506.77,1506.92,1485.23,1898
2000-01-28,1514.56,1535.0,1536.35,1510.74,2938
2000-02-14,1591.44,1673.94,1674.13,1587.82,4358
2000-02-15,1709.22,1670.67,1746.44,1663.01,5254
2000-02-16,1674.94,1693.11,1695.88,1649.7,3743
2000-02-17,1734.27,1640.65,1770.88,1615.63,5143
2000-02-18,1623.96,1668.09,1668.16,1583.58,2679
2000-02-21,1681.36,1677.14,1697.01,1652.48,3105
2000-02-22,1681.3,1632.29,1687.51,1627.47,2425
2000-02-23,1618.01,1594.93,1630.55,1586.63,1918
2000-02-24,1593.95,1634.31,1634.32,1593.93,1393
2000-02-25,1639.92,1631.58,1650.36,1618.18,1705
2000-02-28,1639.8,1704.85,1704.88,1639.7,2612
2000-02-29,1728.14,1714.58,1733.14,1678.35,2868
2000-03-01,1720.6,1697.74,1721.14,1692.51,2248
2000-03-02,1697.56,1713.01,1721.6,1682.54,1959
2000-03-03,1728.35,1738.02,1750.65,1721.7,2481
2000-03-06,1756.31,1681.08,1762.83,1678.74,2650
2000-03-07,1661.95,1694.8,1694.89,1654.44,1768
2000-03-08,1699.46,1726.03,1726.04,1690.12,1974
2000-03-09,1734.77,1732.35,1741.22,1714.92,1787
